name,item,category,high_risk_pvp,custom_id_likely,craftable,source
Scroll of Intellect III,item:4419,Scrolls,False,False,unknown,AccountingDB observed item
Scroll of Intellect IV,item:10308,Scrolls,False,False,unknown,AccountingDB observed item
Scroll of Protection,item:3013,Scrolls,False,False,unknown,AccountingDB observed item
Scroll of Protection II,item:1478,Scrolls,False,False,unknown,AccountingDB observed item
Scroll of Protection III,item:4421,Scrolls,False,False,unknown,AccountingDB observed item
Scroll of Protection IV,item:10305,Scrolls,False,False,unknown,AccountingDB observed item
Scroll of Spirit,item:1181,Scrolls,False,False,unknown,AccountingDB observed item
Scroll of Spirit II,item:1712,Scrolls,False,False,unknown,AccountingDB observed item
Scroll of Spirit III,item:4424,Scrolls,False,False,unknown,AccountingDB observed item
Scroll of Spirit IV,item:10306,Scrolls,False,False,unknown,AccountingDB observed item
Scroll of Stamina,item:1180,Scrolls,False,False,unknown,AccountingDB observed item
Scroll of Stamina II,item:1711,Scrolls,False,False,unknown,AccountingDB observed item
Scroll of Stamina IV,item:10307,Scrolls,False,False,unknown,AccountingDB observed item
Scroll of Strength,item:954,Scrolls,False,False,unknown,AccountingDB observed item
Scroll of Strength II,item:2289,Scrolls,False,False,unknown,AccountingDB observed item
Scroll of Strength IV,item:10310,Scrolls,False,False,unknown,AccountingDB observed item
Wizard Oil,item:20750,Weapon Buffs/Oils,True,False,unknown,AccountingDB observed item
